Task,Image,CommandLine,TargetFilename,ImageLoaded,PipeName,QueryName,EventType
1,C:\Windows\System32\netsh.exe,"""C:\WINDOWS\system32\netsh.exe"" http show urlacl",-,-,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\ntdll.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\netsh.exe,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\kernel32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\KernelBase.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\msvcrt.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\oleaut32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\msvcp_win.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\ucrtbase.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\combase.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\rpcrt4.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\kernel.appcore.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\ws2_32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\IPHLPAPI.DLL,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\cfgmgr32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\ifmon.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\crypt32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\cryptsp.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\sechost.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\advapi32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\mprapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\user32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\win32u.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\sstpcfg.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\gdi32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\gdi32full.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\FWPUCLNT.DLL,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\rtutils.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\rasmontr.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\rasman.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\ole32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\imm32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\bcrypt.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\rasapi32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\prxyqry.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\ncrypt.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\mobilenetworking.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\ntasn1.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\mfc42u.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\shlwapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\shell32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\nsi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\dhcpcsvc.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\winnsi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\dnsapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\authfwcfg.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\fwpolicyiomgr.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\tdh.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\FirewallAPI.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\userenv.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\fwbase.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\dhcpcmonitor.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\cabinet.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\profapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\dot3cfg.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\cryptbase.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\wlanapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\winhttp.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\dot3api.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\onex.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\SHCore.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\mswsock.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\wevtapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\eappcfg.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\bcryptprimitives.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\uxtheme.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\eappprxy.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\windows.storage.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\WinTypes.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\mfc42.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\msasn1.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\fwcfg.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\hnetmon.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\netshell.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\NetSetupApi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\netiohlp.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\netprofm.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\nettrace.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\nshhttp.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\httpapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\nshipsec.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\winipsec.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\activeds.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\Wldap32.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\polstore.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\nshwfp.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\p2pnetsh.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\P2P.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\rpcnsh.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\WcnNetsh.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\whhelper.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\wlancfg.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\wshelper.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\wwancfg.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\WwanPrfl.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\wwapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\wcmapi.dll,-,-,-
7,C:\Windows\System32\netsh.exe,-,-,C:\Windows\System32\mprmsg.dll,-,-,-
